sex,chest(inch,waist,hip,height,shoes,recommend_mil_top,recommend_mil_pants,recommend_mil_jacket,recommend_inner,recommend_T-shirts,recommend_underpants,recommend_shoes
men,40,34,41,173,275,100-M-173,85-173,100-173,100,100,100,275
men,42,35,40,178,275,105-M-178,90-178,105-178,105,105,100,275
men,36,28,35,170,250,90-M-168,70-173,90-168,90,90,90,250
men,37,30,38,182,275,95-M-178,75-178,95-178,95,95,95,275
men,38,31,40,170,260,95-M-168,80-168,95-168,95,95,100,260
men,43,37,42,178,275,110-M-178,95-178,115-173,110,110,105,275
men,38,32,38,187,280,95-M-185,80-185,95-187,95,95,95,280
men,36,28,36,174,275,90-M-173,70-173,90-173,90,90,90,275
men,41,32,40,183,270,105-M-178,80-178,105-178,105,105,100,270
men,37,31,40,189,280,95-M-185,80-185,95-187,95,95,100,280
men,37,30,37,168,265,95-M-168,75-168,95-168,95,95,90,265
men,39,32,39,170,270,100-M-168,80-168,100-168,100,100,95,270
men,46,40,45,178,275,115-M-178,100-178,115-173,115,115,110,275
men,35,30,37,175,265,90-M-173,75-173,90-173,90,90,90,265
men,40,31,38,173,280,100-M-173,80-173,100-173,100,100,95,280
men,40,34,40,168,270,100-M-168,85-168,100-168,100,100,100,270
men,39,32,38,180,275,100-M-178,80-178,100-178,100,100,95,275
men,39,32,40,171,280,100-M-173,80-173,100-173,100,100,100,280
men,42,31,39,173,260,105-M-173,80-173,105-173,105,105,95,260
men,39,33,40,185,285,100-M-185,85-185,100-178,100,100,100,285
men,40,32,41,168,265,100-M-168,80-168,100-168,100,100,100,265
men,40,32,38,175,260,100-M-173,80-173,100-173,100,100,95,260
men,44,33,40,176,275,110-M-173,85-173,115-173,110,110,100,275
men,40,32,40,180,265,100-M-178,80-178,100-178,100,100,100,265
men,39,33,39,192,285,100-M-185,85-185,105-187,100,100,95,285
men,38,32,39,170,270,95-M-168,80-168,95-168,95,95,95,270
men,41,32,39,167,260,105-M-168,80-168,105-173,105,105,95,260
men,39,34,41,181,280,100-M-178,85-178,100-178,100,100,100,280
men,36,31,37,174,270,90-M-173,80-173,90-173,90,90,90,270
men,45,37,43,171,270,115-M-178,95-173,115-173,115,115,105,270
men,41,34,41,178,285,105-M-178,85-178,105-178,105,105,100,285
men,38,33,39,171,265,95-M-173,85-173,95-173,95,95,95,265
men,36,28,37,173,260,90-M-173,70-173,90-173,90,90,90,260
men,39,31,37,172,260,100-M-173,80-173,100-173,100,100,90,260
men,41,33,39,175,280,105-M-173,85-173,105-173,105,105,95,280
men,36,29,37,176,260,90-M-173,75-173,95-173,90,90,90,260
men,42,35,42,167,280,105-M-168,90-168,105-173,105,105,105,280
men,44,38,44,176,275,110-M-173,95-173,115-173,110,110,110,275
men,39,29,36,169,260,100-M-168,75-168,100-168,100,100,90,260
men,41,33,39,179,270,105-M-178,85-178,105-178,105,105,95,270
men,40,35,40,178,275,100-M-178,90-178,100-178,100,100,100,275
men,44,40,47,186,275,110-M-185,100-185,115-185,110,110,115,275
men,43,35,42,168,260,110-M-173,90-168,115-173,110,110,105,260
men,40,34,40,172,270,100-M-173,85-173,100-173,100,100,100,270
men,35,29,36,165,260,90-M-168,75-168,90-168,90,90,90,260
men,40,34,40,175,280,100-M-173,85-173,100-173,100,100,100,280
men,41,37,43,175,260,105-M-173,95-173,105-173,105,105,105,260
men,44,34,41,175,265,110-M-173,85-173,115-173,110,110,100,265
men,37,29,37,174,260,95-M-173,75-173,95-173,95,95,90,260
men,36,30,36,163,250,90-M-168,75-168,90-168,90,90,90,250
men,42,33,41,179,280,105-M-178,85-178,105-178,105,105,100,280
men,40,34,40,178,280,100-M-178,85-178,100-178,100,100,100,280
men,35,28,37,173,265,90-M-173,70-173,90-173,90,90,90,265
men,42,38,44,178,275,105-M-178,95-178,105-178,105,105,110,275
men,43,38,44,177,280,110-M-173,95-173,115-173,110,110,110,280
men,36,30,38,177,270,90-M-173,75-173,95-173,90,90,95,270
men,38,29,36,171,255,95-M-173,75-173,95-173,95,95,90,255
men,42,39,43,178,285,105-M-178,100-178,105-178,105,105,105,285
men,38,33,40,168,270,95-M-168,85-168,95-168,95,95,100,270
men,42,37,44,177,270,105-M-173,95-173,105-173,105,105,110,270
men,37,32,37,177,255,95-M-173,80-173,95-173,95,95,90,255
men,36,31,38,167,265,90-M-168,80-168,90-168,90,90,95,265
men,37,32,41,176,270,95-M-173,80-173,95-173,95,95,100,270
men,45,35,43,183,290,115-M-178,90-178,115-185,115,115,105,290
men,40,33,40,169,265,100-M-168,85-168,100-168,100,100,100,265
men,38,31,37,172,265,95-M-173,80-173,95-173,95,95,90,265
men,47,39,44,178,280,120-M-178,100-178,115-173,120,120,110,280
men,42,32,39,178,280,105-M-178,80-178,105-178,105,105,95,280
men,35,29,37,170,255,90-M-168,75-168,90-168,90,90,90,255
men,35,30,37,173,265,90-M-173,75-173,90-173,90,90,90,265
men,35,28,37,180,280,90-M-178,75-178,95-178,90,90,90,280
men,44,34,41,175,260,110-M-173,85-173,115-173,110,110,100,260
men,43,31,39,184,280,110-M-178,80-178,115-185,110,110,95,280
men,41,38,44,173,270,105-M-173,95-173,105-173,105,105,110,270
men,39,31,39,175,270,100-M-173,80-173,100-173,100,100,95,270
men,36,30,38,178,265,90-M-178,75-178,95-178,90,90,95,265
men,36,30,36,170,260,90-M-168,75-168,90-168,90,90,90,260
men,39,35,41,188,275,100-M-185,90-185,105-187,100,100,100,275
men,35,28,35,166,250,90-M-168,70-173,90-168,90,90,90,250
men,43,35,42,181,300,110-M-178,90-178,115-185,110,110,105,300
men,40,31,39,178,270,100-M-178,80-178,100-178,100,100,95,270
men,41,34,40,172,265,105-M-173,85-173,105-173,105,105,100,265
men,47,39,44,178,290,120-M-178,100-178,115-173,120,120,110,290
men,37,31,38,172,255,95-M-173,80-173,95-173,95,95,95,255
men,39,34,41,178,280,100-M-178,85-178,100-178,100,100,100,280
men,36,30,37,171,270,90-M-173,75-173,90-173,90,90,90,270
men,43,37,42,177,270,110-M-173,95-173,115-173,110,110,105,270
men,38,29,38,176,280,95-M-173,75-173,95-173,95,95,95,280
men,35,29,37,170,250,90-M-168,75-168,90-168,90,90,90,250
men,42,34,42,171,270,105-M-173,85-173,105-173,105,105,105,270
men,38,32,40,168,275,95-M-168,80-168,95-168,95,95,100,275
men,41,33,41,179,270,105-M-178,85-178,105-178,105,105,100,270
men,36,31,37,178,275,90-M-178,80-178,95-178,90,90,90,275
men,36,30,36,170,260,90-M-168,75-168,90-168,90,90,90,260
men,35,25,32,163,255,90-M-168,70-173,90-168,90,90,90,255
men,37,30,36,176,265,95-M-173,75-173,95-173,95,95,90,265
men,40,35,42,178,285,100-M-178,90-178,100-178,100,100,105,285
men,36,29,35,168,260,90-M-168,75-168,90-168,90,90,90,260
men,38,30,37,173,260,95-M-173,75-173,95-173,95,95,90,260
men,40,35,41,174,260,100-M-173,90-173,100-173,100,100,100,260
men,38,34,38,168,250,95-M-168,85-168,95-168,95,95,95,250
men,43,35,43,163,255,110-M-173,90-168,115-173,110,110,105,255
men,44,37,43,176,270,110-M-173,95-173,115-173,110,110,105,270
men,39,34,40,172,270,100-M-173,85-173,100-173,100,100,100,270
men,40,33,40,183,280,100-M-178,85-178,100-178,100,100,100,280
men,41,33,40,177,260,105-M-173,85-173,105-173,105,105,100,260
men,38,29,37,173,265,95-M-173,75-173,95-173,95,95,90,265
men,42,35,41,175,275,105-M-173,90-173,105-173,105,105,100,275
men,41,33,42,181,280,105-M-178,85-178,105-178,105,105,105,280
men,40,32,39,179,285,100-M-178,80-178,100-178,100,100,95,285
men,38,34,39,175,265,95-M-173,85-173,95-173,95,95,95,265
men,38,31,37,170,260,95-M-168,80-168,95-168,95,95,90,260
men,36,29,37,169,260,90-M-168,75-168,90-168,90,90,90,260
men,39,32,39,171,265,100-M-173,80-173,100-173,100,100,95,265
men,38,31,39,174,275,95-M-173,80-173,95-173,95,95,95,275
men,35,28,35,168,260,90-M-168,70-173,90-168,90,90,90,260
men,35,30,36,162,245,90-M-168,75-168,90-168,90,90,90,245
men,42,35,43,174,280,105-M-173,90-173,105-173,105,105,105,280
men,42,33,40,179,275,105-M-178,85-178,105-178,105,105,100,275
men,38,33,40,180,270,95-M-178,85-178,95-178,95,95,100,270
men,37,30,37,169,265,95-M-168,75-168,95-168,95,95,90,265
men,38,31,36,171,265,95-M-173,80-173,95-173,95,95,90,265
men,39,34,40,174,275,100-M-173,85-173,100-173,100,100,100,275
men,46,45,49,191,290,115-M-185,120-185,115-185,115,115,120,290
men,35,29,37,164,250,90-M-168,75-168,90-168,90,90,90,250
men,40,34,41,180,260,100-M-178,85-178,100-178,100,100,100,260
men,37,30,37,179,280,95-M-178,75-178,95-178,95,95,90,280
men,38,32,40,190,280,95-M-185,80-185,95-187,95,95,100,280
men,39,31,37,174,270,100-M-173,80-173,100-173,100,100,90,270
men,40,34,41,172,275,100-M-173,85-173,100-173,100,100,100,275
men,41,32,40,173,275,105-M-173,80-173,105-173,105,105,100,275
men,39,33,40,176,280,100-M-173,85-173,100-173,100,100,100,280
men,35,28,35,173,260,90-M-173,70-173,90-173,90,90,90,260
men,38,33,41,181,275,95-M-178,85-178,95-178,95,95,100,275
men,42,32,39,178,285,105-M-178,80-178,105-178,105,105,95,285
men,35,33,40,170,270,90-M-168,85-168,90-168,90,90,100,270
men,41,37,45,177,280,105-M-173,95-173,105-173,105,105,110,280
men,40,36,42,176,275,100-M-173,90-173,100-173,100,100,105,275
men,38,31,40,178,265,95-M-178,80-178,95-178,95,95,100,265
men,39,35,41,173,260,100-M-173,90-173,100-173,100,100,100,260
men,42,32,37,170,265,105-M-168,80-168,105-173,105,105,90,265
men,38,34,40,186,280,95-M-185,85-185,95-178,95,95,100,280
men,38,33,38,179,275,95-M-178,85-178,95-178,95,95,95,275
men,37,32,38,171,265,95-M-173,80-173,95-173,95,95,95,265
men,41,34,41,171,265,105-M-173,85-173,105-173,105,105,100,265
men,41,34,40,169,260,105-M-168,85-168,105-173,105,105,100,260
men,41,35,42,176,260,105-M-173,90-173,105-173,105,105,105,260
men,41,30,38,173,270,105-M-173,75-173,105-173,105,105,95,270
men,36,31,39,180,270,90-M-178,80-178,95-178,90,90,95,270
men,37,31,38,175,275,95-M-173,80-173,95-173,95,95,95,275
men,39,32,39,172,260,100-M-173,80-173,100-173,100,100,95,260
men,38,32,39,179,280,95-M-178,80-178,95-178,95,95,95,280
men,37,32,38,171,265,95-M-173,80-173,95-173,95,95,95,265
men,43,37,44,175,265,110-M-173,95-173,115-173,110,110,110,265
men,39,34,41,175,270,100-M-173,85-173,100-173,100,100,100,270
men,47,35,42,176,285,120-M-178,90-173,115-173,120,120,105,285
men,46,40,48,182,275,115-M-178,100-178,115-185,115,115,120,275
men,37,30,38,176,265,95-M-173,75-173,95-173,95,95,95,265
men,50,43,48,185,295,125-M-185,110-185,115-185,125,125,120,295
men,37,31,38,169,260,95-M-168,80-168,95-168,95,95,95,260
men,43,37,43,169,265,110-M-173,95-173,115-173,110,110,105,265
men,38,32,40,180,270,95-M-178,80-178,95-178,95,95,100,270
men,42,35,43,177,280,105-M-173,90-173,105-173,105,105,105,280
men,37,30,37,173,270,95-M-173,75-173,95-173,95,95,90,270
men,41,33,41,181,275,105-M-178,85-178,105-178,105,105,100,275
men,38,29,38,182,265,95-M-178,75-178,95-178,95,95,95,265
men,39,32,38,170,265,100-M-168,80-168,100-168,100,100,95,265
men,35,29,36,170,255,90-M-168,75-168,90-168,90,90,90,255
men,44,35,39,180,265,110-M-178,90-178,115-185,110,110,95,265
men,35,30,36,165,255,90-M-168,75-168,90-168,90,90,90,255
men,38,33,41,170,275,95-M-168,85-168,95-168,95,95,100,275
men,42,37,44,176,270,105-M-173,95-173,105-173,105,105,110,270
men,42,37,43,173,270,105-M-173,95-173,105-173,105,105,105,270
men,40,32,39,170,270,100-M-168,80-168,100-168,100,100,95,270
men,37,31,37,174,260,95-M-173,80-173,95-173,95,95,90,260
men,36,30,37,173,265,90-M-173,75-173,90-173,90,90,90,265
men,38,33,39,179,280,95-M-178,85-178,95-178,95,95,95,280
men,39,36,42,162,255,100-M-168,90-168,100-168,100,100,105,255
men,41,34,43,170,265,105-M-168,85-168,105-173,105,105,105,265
men,40,35,40,165,260,100-M-168,90-168,100-168,100,100,100,260
men,42,34,42,178,265,105-M-178,85-178,105-178,105,105,105,265
men,39,32,37,169,260,100-M-168,80-168,100-168,100,100,90,260
men,39,32,39,170,260,100-M-168,80-168,100-168,100,100,95,260
men,42,32,38,172,270,105-M-173,80-173,105-173,105,105,95,270
men,41,34,41,172,250,100-M-173,85-173,100-173,100,100,100,250
men,38,31,37,171,260,95-M-173,75-173,95-173,95,95,90,260
men,39,31,37,164,260,95-M-168,75-168,95-168,95,95,90,260
men,40,34,41,172,280,100-M-173,85-173,100-173,100,100,100,280
men,44,37,43,178,270,110-M-178,90-178,115-173,110,110,105,270
men,38,32,41,173,275,95-M-173,80-173,95-173,95,95,100,275
men,38,32,38,167,265,95-M-168,80-168,95-168,95,95,95,265
men,39,33,40,174,260,95-M-173,80-173,95-173,95,95,100,260
men,41,31,39,172,265,100-M-173,75-173,100-173,100,100,95,265
men,41,34,40,177,280,100-M-173,85-173,100-173,100,100,100,280
men,42,34,43,177,280,105-M-173,85-173,105-173,105,105,105,280
men,39,30,38,174,255,95-M-173,75-173,95-173,95,95,95,255
men,41,35,44,186,285,100-M-185,85-185,100-178,100,100,110,285
men,42,31,38,177,270,105-M-173,75-173,105-173,105,105,95,270
men,39,30,38,170,265,95-M-168,75-168,95-168,95,95,95,265
men,46,36,44,180,290,115-M-178,90-178,115-183,115,115,110,290
men,46,37,41,173,280,115-M-178,90-173,115-173,115,115,100,280
men,41,31,39,172,265,100-M-173,75-173,100-173,100,100,95,265
men,41,34,39,179,260,100-M-178,85-178,100-178,100,100,95,260
men,38,31,39,171,265,95-M-173,75-173,95-173,95,95,95,265
men,44,34,42,172,260,110-M-173,85-173,115-173,110,110,105,260
men,40,32,39,179,260,100-M-178,80-178,100-178,100,100,95,260
men,44,36,43,176,275,110-M-173,90-173,115-173,110,110,105,275
men,45,40,45,180,280,110-M-178,100-178,115-183,110,110,110,280
men,40,33,39,172,265,100-M-173,80-173,100-173,100,100,95,265
men,42,36,44,172,270,105-M-173,90-173,105-173,105,105,110,270
men,41,33,41,171,270,100-M-173,80-173,100-173,100,100,100,270
men,41,34,40,169,265,100-M-168,85-168,100-168,100,100,100,265
men,36,29,36,166,250,90-M-168,70-173,90-168,90,90,90,250
men,49,38,44,181,280,120-M-178,95-178,115-183,120,120,110,280
men,38,31,37,176,275,95-M-173,75-173,95-173,95,95,90,275
men,45,39,45,173,260,110-M-173,95-173,115-173,110,110,110,260
men,42,32,38,169,265,105-M-168,80-168,105-173,105,105,95,265
men,38,32,38,180,270,95-M-178,80-178,95-178,95,95,95,270
men,45,37,45,178,285,110-M-178,90-178,115-173,110,110,110,285
men,36,32,38,166,255,90-M-168,80-168,90-168,90,90,95,255
men,40,36,42,183,285,100-M-178,90-178,100-178,100,100,105,285
men,41,31,38,178,265,100-M-178,75-178,100-178,100,100,95,265
men,41,36,42,170,265,100-M-168,90-168,100-168,100,100,105,265
men,38,33,40,176,270,95-M-173,80-173,95-173,95,95,100,270
men,38,30,37,173,265,95-M-173,75-173,95-173,95,95,90,265
men,40,34,42,181,280,100-M-178,85-178,100-178,100,100,105,280
men,38,31,38,171,250,95-M-173,75-173,95-173,95,95,95,250
men,36,31,38,173,265,90-M-173,75-173,90-173,90,90,95,265
men,40,32,39,178,275,100-M-178,80-178,100-178,100,100,95,275
men,47,39,44,175,275,115-M-178,95-173,115-173,115,115,110,275
men,39,34,40,173,260,95-M-173,85-173,95-173,95,95,100,260
men,40,33,40,178,250,100-M-178,80-178,100-178,100,100,100,250
men,41,35,43,176,270,100-M-173,85-173,100-173,100,100,105,270
men,41,35,41,180,280,100-M-178,85-178,100-178,100,100,100,280
men,39,33,39,176,280,95-M-173,80-173,95-173,95,95,95,280
men,42,35,43,182,285,105-M-178,85-178,105-178,105,105,105,285
men,43,36,42,175,270,105-M-173,90-173,105-173,105,105,105,270
men,47,37,45,177,275,115-M-178,90-173,115-173,115,115,110,275
men,45,38,44,170,270,110-M-173,95-173,115-173,110,110,110,270
men,40,34,39,175,265,100-M-173,85-173,100-173,100,100,95,265
men,41,33,39,173,265,100-M-173,80-173,100-173,100,100,95,265
men,42,34,41,174,270,105-M-173,85-173,105-173,105,105,100,270
men,40,34,41,175,265,100-M-173,85-173,100-173,100,100,100,265
men,43,35,41,175,275,105-M-173,85-173,105-173,105,105,100,275
men,47,38,46,178,275,115-M-178,95-178,115-173,115,115,115,275
men,38,30,37,177,275,95-M-173,75-173,95-173,95,95,90,275
men,41,31,37,170,265,100-M-168,75-168,100-168,100,100,90,265
men,44,35,43,178,275,110-M-178,85-178,115-173,110,110,105,275
men,39,32,40,175,265,95-M-173,80-173,95-173,95,95,100,265
men,42,35,41,168,270,105-M-168,85-168,105-173,105,105,100,270
men,42,38,45,179,275,105-M-178,95-178,105-178,105,105,110,275
men,39,33,40,174,275,95-M-173,80-173,95-173,95,95,100,275
men,38,31,37,179,270,95-M-178,75-178,95-178,95,95,90,270
men,39,32,40,181,280,95-M-178,80-178,95-178,95,95,100,280
men,41,36,42,175,275,100-M-173,90-173,100-173,100,100,105,275
men,41,35,41,178,275,100-M-178,85-178,100-178,100,100,100,275
men,41,34,41,178,280,100-M-178,85-178,100-178,100,100,100,280
men,41,33,42,173,270,100-M-173,80-173,100-173,100,100,105,270
men,39,31,39,176,260,95-M-173,75-173,95-173,95,95,95,260
men,40,34,38,166,265,100-M-168,85-168,100-168,100,100,95,265
men,44,33,42,174,270,110-M-173,80-173,115-173,110,110,105,270
men,39,33,41,174,265,95-M-173,80-173,95-173,95,95,100,265
men,40,35,41,180,275,100-M-178,85-178,100-178,100,100,100,275
men,37,33,40,188,290,90-M-185,80-185,95-187,90,90,100,290
men,41,34,41,174,270,100-M-173,85-173,100-173,100,100,100,270
men,43,33,40,183,295,105-M-178,80-178,105-178,105,105,100,295
men,40,33,39,169,270,100-M-168,80-168,100-168,100,100,95,270
men,36,29,36,166,250,90-M-168,70-173,90-168,90,90,90,250
men,42,34,41,190,290,105-M-185,85-185,105-187,105,105,100,290
men,39,32,37,180,275,95-M-178,80-178,95-178,95,95,90,275
men,37,31,39,170,250,90-M-168,75-168,90-168,90,90,95,250
men,37,30,35,167,255,90-M-168,75-168,90-168,90,90,90,255
men,42,34,42,178,280,105-M-178,85-178,105-178,105,105,105,280
men,39,32,40,174,270,95-M-173,80-173,95-173,95,95,100,270
men,43,32,40,182,280,105-M-178,80-178,105-178,105,105,100,280
men,41,33,41,167,260,100-M-168,80-168,100-168,100,100,100,260
men,47,38,43,187,290,115-M-178,95-185,115-183,115,115,105,290
men,43,36,43,181,280,105-M-178,90-178,105-178,105,105,105,280
men,38,31,39,175,270,95-M-173,75-173,95-173,95,95,95,270
men,43,34,42,177,280,105-M-173,85-173,105-173,105,105,105,280
men,40,33,39,175,275,100-M-173,80-173,100-173,100,100,95,275
men,41,32,41,175,270,100-M-173,80-173,100-173,100,100,100,270
men,41,35,43,177,265,100-M-173,85-173,100-173,100,100,105,265
men,44,37,42,180,275,110-M-178,90-178,115-183,110,110,105,275
men,41,32,40,172,265,100-M-173,80-173,100-173,100,100,100,265
men,42,35,41,168,260,105-M-168,85-168,105-173,105,105,100,260
men,40,33,41,177,270,100-M-173,80-173,100-173,100,100,100,270
men,41,35,42,176,265,100-M-173,85-173,100-173,100,100,105,265
men,41,32,39,173,265,100-M-173,80-173,100-173,100,100,95,265
men,40,35,41,177,270,100-M-173,85-173,100-173,100,100,100,270
men,37,32,37,170,255,90-M-168,80-168,90-168,90,90,90,255
men,44,35,42,179,270,110-M-178,85-178,115-173,110,110,105,270
men,43,35,42,181,280,105-M-178,85-178,105-178,105,105,105,280
men,40,32,39,174,270,100-M-173,80-173,100-173,100,100,95,270
men,41,34,40,176,270,100-M-173,85-173,100-173,100,100,100,270
men,45,38,45,187,275,115-M-185,95-185,115-183,110,110,110,275
men,42,34,40,179,265,105-M-178,85-178,105-178,105,105,100,265
men,40,33,38,174,270,100-M-173,80-173,100-173,100,100,95,270
men,46,38,42,174,275,115-M-178,95-173,115-173,115,115,105,275
men,43,32,39,174,270,105-M-173,80-173,105-173,105,105,95,270
men,38,31,38,178,265,95-M-178,75-178,95-178,95,95,95,265
men,38,31,37,169,250,95-M-168,75-168,95-168,95,95,90,250
men,38,32,38,183,270,95-M-178,80-178,95-178,95,95,95,270
men,43,34,43,181,270,105-M-178,85-178,105-178,105,105,105,270
men,42,34,42,181,280,105-M-178,85-178,105-178,105,105,105,280
men,43,36,43,190,290,105-M-185,90-185,105-187,105,105,105,290
men,43,35,42,178,280,105-M-178,85-178,105-178,105,105,105,280
men,45,37,41,175,280,110-M-173,90-173,115-173,110,110,100,280
men,45,35,45,175,280,110-M-173,85-173,115-173,110,110,110,280
men,43,34,42,172,270,105-M-173,85-173,105-173,105,105,105,270
men,40,33,39,172,260,100-M-173,80-173,100-173,100,100,95,260
men,38,32,39,168,265,95-M-168,80-168,95-168,95,95,95,265
men,38,31,38,177,265,95-M-173,75-173,95-173,95,95,95,265
men,38,30,37,177,265,95-M-173,75-173,95-173,95,95,90,265
men,40,32,40,178,270,100-M-178,80-178,100-178,100,100,100,270
men,42,34,40,183,265,105-M-178,85-178,105-178,105,105,100,265
men,39,33,40,172,260,95-M-173,80-173,95-173,95,95,100,260
men,37,33,39,177,275,90-M-173,80-173,90-173,90,90,95,275
men,38,31,36,164,250,95-M-168,75-168,95-168,95,95,90,250
men,46,43,47,185,290,115-M-185,105-178,115-183,115,115,115,290
men,44,35,42,166,260,110-M-173,85-168,115-173,110,110,105,260
men,42,36,42,168,260,105-M-168,90-168,105-173,105,105,105,260
men,39,31,39,173,265,95-M-173,75-173,95-173,95,95,95,265
men,41,36,43,164,265,100-M-168,90-168,100-168,100,100,105,265
men,36,31,37,164,250,90-M-168,75-168,90-168,90,90,90,250
men,43,33,42,191,285,105-M-185,80-185,105-187,105,105,105,285
men,39,33,38,177,270,95-M-173,80-173,95-173,95,95,95,270
men,39,32,39,180,275,95-M-178,80-178,95-178,95,95,95,275
men,44,38,45,186,285,115-M-185,95-185,115-183,110,110,110,285
men,42,37,43,183,265,105-M-178,90-178,105-178,105,105,105,265
men,41,34,40,167,265,100-M-168,85-168,100-168,100,100,100,265
men,43,36,41,185,280,105-M-185,90-185,105-178,105,105,100,280
men,40,33,39,165,265,100-M-168,80-168,100-168,100,100,95,265
men,38,30,36,171,265,95-M-173,75-173,95-173,95,95,90,265
men,38,30,38,165,260,95-M-168,75-168,95-168,95,95,95,260
men,40,33,41,178,275,100-M-178,80-178,100-178,100,100,100,275
men,44,34,41,181,290,110-M-178,85-178,115-183,110,110,100,290
men,41,33,40,176,270,100-M-173,80-173,100-173,100,100,100,270
men,40,34,39,176,280,100-M-173,85-173,100-173,100,100,95,280
men,39,31,37,173,265,95-M-173,75-173,95-173,95,95,90,265
men,39,31,37,170,255,95-M-168,75-168,95-168,95,95,90,255
men,43,33,41,186,275,105-M-185,80-185,105-178,105,105,100,275
men,39,32,39,183,275,95-M-178,80-178,95-178,95,95,95,275
men,42,34,42,185,275,105-M-185,85-185,105-178,105,105,105,275
men,39,33,39,175,270,95-M-173,80-173,95-173,95,95,95,270
men,40,33,40,164,255,100-M-168,80-168,100-168,100,100,100,255
men,43,38,45,173,270,105-M-173,95-173,105-173,105,105,110,270
men,41,37,42,171,265,100-M-173,90-173,100-173,100,100,105,265
men,39,33,39,173,260,95-M-173,80-173,95-173,95,95,95,260
men,39,32,40,181,265,95-M-178,80-178,95-178,95,95,100,265
men,38,31,38,174,265,95-M-173,75-173,95-173,95,95,95,265
men,36,31,36,163,260,90-M-168,75-168,90-168,90,90,90,260
men,41,34,41,177,265,100-M-173,85-173,100-173,100,100,100,265
men,39,31,38,173,260,95-M-173,75-173,95-173,95,95,95,260
men,39,32,38,182,275,95-M-178,80-178,95-178,95,95,95,275
men,39,32,38,174,260,95-M-173,80-173,95-173,95,95,95,260
men,45,35,42,174,270,110-M-173,85-173,115-173,110,110,105,270
men,41,33,41,170,270,100-M-168,80-168,100-168,100,100,100,270
men,41,32,41,171,270,100-M-173,80-173,100-173,100,100,100,270
men,37,31,38,167,270,90-M-168,75-168,90-168,90,90,95,270
men,40,33,41,165,275,100-M-168,80-168,100-168,100,100,100,275
men,48,39,44,182,280,120-M-178,95-178,115-183,120,120,110,280
men,39,33,40,170,250,95-M-168,80-168,95-168,95,95,100,250
men,45,40,44,169,270,110-M-173,100-173,115-173,110,110,110,270
men,37,32,40,176,265,90-M-173,80-173,90-173,90,90,100,265
men,38,32,39,174,275,95-M-173,80-173,95-173,95,95,95,275
men,40,33,39,171,265,100-M-173,80-173,100-173,100,100,95,265
men,41,33,41,165,250,100-M-168,80-168,100-168,100,100,100,250
men,41,35,41,178,275,100-M-178,85-178,100-178,100,100,100,275
men,45,37,43,178,270,110-M-178,90-178,115-173,110,110,105,270
men,42,33,39,174,260,105-M-173,80-173,105-173,105,105,95,260
men,41,34,41,175,270,100-M-173,85-173,100-173,100,100,100,270
men,40,32,40,178,265,100-M-178,80-178,100-178,100,100,100,265
men,38,29,37,178,280,95-M-178,75-178,95-178,95,95,90,280
men,47,38,44,189,290,115-M-185,95-185,115-183,115,115,110,290
men,40,34,41,183,275,100-M-178,85-178,100-178,100,100,100,275
men,42,36,44,181,285,105-M-178,90-178,105-178,105,105,110,285
men,47,37,43,178,275,115-M-178,90-178,115-173,115,115,105,275
men,40,34,40,171,265,100-M-173,85-173,100-173,100,100,100,265
men,41,34,41,177,270,100-M-173,85-173,100-173,100,100,100,270
men,38,32,40,171,260,95-M-173,80-173,95-173,95,95,100,260
men,39,33,39,171,270,95-M-173,80-173,95-173,95,95,95,270
men,45,36,45,171,270,110-M-173,90-173,115-173,110,110,110,270
men,47,40,48,170,290,115-M-178,100-173,115-173,115,115,120,290
men,40,32,39,171,265,100-M-173,80-173,100-173,100,100,95,265
men,39,34,39,175,255,95-M-173,85-173,95-173,95,95,95,255
men,41,34,39,171,260,100-M-173,85-173,100-173,100,100,95,260
men,43,37,43,177,270,105-M-173,90-173,105-173,105,105,105,270
men,39,29,38,177,265,95-M-173,75-173,95-173,95,95,95,265
men,40,33,40,174,265,100-M-173,80-173,100-173,100,100,100,265
men,42,37,44,178,280,105-M-178,90-178,105-178,105,105,110,280
men,43,35,42,179,265,105-M-178,85-178,105-178,105,105,105,265
men,42,34,42,177,270,105-M-173,85-173,105-173,105,105,105,270
men,49,39,45,175,280,120-M-178,95-173,115-173,120,120,110,280
men,40,31,38,168,260,100-M-168,75-168,100-168,100,100,95,260
men,40,35,41,176,270,100-M-173,85-173,100-173,100,100,100,270
men,47,38,46,183,290,115-M-178,95-178,115-183,115,115,115,290
men,38,32,40,173,270,95-M-173,80-173,95-173,95,95,100,270
men,36,30,38,177,270,90-M-173,75-173,90-173,90,90,95,270
men,37,32,38,181,270,90-M-178,80-178,95-178,90,90,95,270
men,42,32,39,171,265,105-M-173,80-173,105-173,105,105,95,265
men,39,32,37,171,270,95-M-173,80-173,95-173,95,95,90,270
men,42,34,40,175,275,105-M-173,85-173,105-173,105,105,100,275
men,46,41,48,168,270,115-M-178,100-173,115-173,115,115,120,270
men,42,34,42,178,270,105-M-178,85-178,105-178,105,105,105,270
men,40,32,40,178,265,100-M-178,80-178,100-178,100,100,100,265
men,39,31,38,179,260,95-M-178,75-178,95-178,95,95,95,260
men,42,33,39,178,280,105-M-178,80-178,105-178,105,105,95,280
men,39,31,38,173,250,95-M-173,75-173,95-173,95,95,95,250
